A,B,M,N,K,geomTerm,distAB,distMN,centroidSep
1,4,13,20,724.856628178748,0.00866817666131649,6.55570125888728,3.30759611847966,7.94850600368181
1,4,13,27,215.504622887938,0.0291556868849484,6.55570125888728,3.41219452570742,7.52612069159704
1,4,19,20,274.449271160067,0.0228937948372799,6.55570125888728,2.68605560699049,8.39230718709073
1,4,19,27,144.836244514944,0.0433813050609118,6.55570125888728,4.1555926814575,7.84581230934063
1,13,16,20,47.5434336863833,0.132156742161833,6.53368932453962,5.89021460338846,8.07883260070441
1,13,16,27,49.5179262641526,0.126887084763244,6.53368932453962,3.85273907422345,8.49646415288315
1,13,19,20,-20.9426747015726,-0.300018283085292,6.53368932453962,2.68605560699049,4.96075548895663
1,13,19,27,-20.581177550678,-0.305287940483881,6.53368932453962,4.1555926814575,4.90460911334146
1,13,20,27,-1192.33278976757,-0.00526965739858953,6.53368932453962,3.07094631958657,6.24407136154747
1,19,13,20,-27.956459362815,-0.224748965011531,6.76854202153116,3.30759611847966,4.60265291846235
1,19,13,27,-17.8294783394098,-0.352404326563577,6.76854202153116,3.41219452570742,5.03051663622284
1,19,16,20,29.605161464602,0.212232766056426,6.76854202153116,5.89021460338846,8.10739099893688
1,19,16,27,74.2891714873357,0.0845774045043792,6.76854202153116,3.85273907422345,8.65967377120407
1,19,20,27,-49.219909221109,-0.127655361552047,6.76854202153116,3.07094631958657,6.21953023665248
2,5,7,29,23.0448159536591,0.27265070460161,6.83482203498636,4.58824721369626,7.05435975388282
2,5,29,30,-23.6063288897961,-0.266165287136007,6.83482203498636,3.8131663524578,6.30507599920838
2,28,6,22,64.7480049590146,0.0970406008827119,8.87194826208901,5.52335255335548,7.43204533173116
2,29,5,30,-42.2473172934443,-0.148723888514326,8.13667543748477,5.94469822264076,4.42820914477864
2,29,17,30,71.1652074053636,0.088290128508865,8.13667543748477,3.60514940974173,8.59550292628782
2,29,21,30,50.856928163101,0.123546300064154,8.13667543748477,4.92146648793748,8.92001859641611
2,29,26,30,46.931135227594,0.133880957209091,8.13667543748477,5.6030093003874,8.17612573005763
4,13,16,20,40.4311124766239,0.155404709944906,7.62752694350903,5.89021460338846,7.60373320736439
4,13,16,27,48.4635897805232,0.129647542322684,7.62752694350903,3.85273907422345,7.4034323898005
4,13,19,20,-19.457882614989,-0.322912077922572,7.62752694350903,2.68605560699049,6.01831966096011
4,13,19,27,-18.0204746689435,-0.348669245544793,7.62752694350903,4.1555926814575,5.07325858058754
4,13,20,27,-243.93929485317,-0.0257571676222214,7.62752694350903,3.07094631958657,6.23637050787302
4,19,13,20,-26.9182685648082,-0.233417141672847,8.96315200891432,3.30759611847966,4.82473414101299
4,19,13,27,-16.4670958321664,-0.381560013448526,8.96315200891432,3.41219452570742,4.17988382870726
4,19,16,20,26.6823752615879,0.235480733839498,8.96315200891432,5.89021460338846,7.31575668471038
4,19,16,27,71.9411393719293,0.0873378620638197,8.96315200891432,3.85273907422345,7.26994789764472
4,19,20,27,-42.4130113846702,-0.148142871775679,8.96315200891432,3.07094631958657,5.81616117982264
5,7,11,17,19.9444087064369,0.315034925309756,6.69195608571119,5.86552230912925,8.06587774591062
5,7,12,17,21.6151728376442,0.290684018785037,6.69195608571119,4.2127193194899,7.44518031094496
5,7,12,31,332.713015292011,0.0188846994809177,6.69195608571119,2.95500049406933,8.7074437784539
5,7,17,21,-22.2785803771316,-0.282028082616481,6.69195608571119,4.66020229698187,6.31677010413853
5,7,17,30,-110.836328140819,-0.0566888619694861,6.69195608571119,3.60514940974173,3.94932480769388
5,7,17,31,-23.1170016292398,-0.271799319304119,6.69195608571119,3.8208355856408,6.60144102854255
5,7,21,26,-145.936168636846,-0.0430543392078145,6.69195608571119,3.00345253442047,7.94592436830422
5,7,21,30,27.8832299549953,0.225339220646995,6.69195608571119,4.92146648793748,5.38781897207588
5,7,26,30,23.4103430446638,0.26839355985481,6.69195608571119,5.6030093003874,5.57314575764465
5,14,7,29,-21.3864377979493,-0.29379298069836,8.70604188877012,4.58824721369626,7.10001380847681
5,14,8,9,-107.01302305012,-0.0587142118603342,8.70604188877012,5.48838205375358,7.79667795054582
5,14,29,30,23.1759442392286,0.271108061113834,8.70604188877012,3.8131663524578,7.32228847551226
5,17,7,21,-28.9886938255039,-0.216746064689942,8.73947033605149,5.42562187282356,4.49928974046867
5,17,7,31,-37.8521292816866,-0.165992915759682,8.73947033605149,5.23762639272563,4.62212268052979
5,17,11,31,86.1781134731872,0.0729092927885279,8.73947033605149,3.07946635666591,8.48403666932276
5,17,12,31,482.97868575786,0.0130092393152307,8.73947033605149,2.95500049406933,7.71158879053679
5,17,21,26,-85.6791906939198,-0.0733338545368108,8.73947033605149,3.00345253442047,7.30136713776679
5,17,21,30,-498.366900596016,-0.0126075493771061,8.73947033605149,4.92146648793748,4.62453366592835
5,17,26,30,103.467274859805,0.0607263051597047,8.73947033605149,5.6030093003874,5.03476712524909
5,30,7,21,-27.8952154074529,-0.225242401444259,5.94469822264076,5.42562187282356,5.58047872191851
5,30,7,31,-21.959835218916,-0.286121696476453,5.94469822264076,5.23762639272563,6.40172987459926
5,30,11,17,48.9954097930746,0.128240284829043,5.94469822264076,5.86552230912925,8.78082923991288
5,30,12,17,56.2022268585806,0.111796020520499,5.94469822264076,4.2127193194899,8.08259543012767
5,30,17,21,-119.502971039047,-0.0525776493466976,5.94469822264076,4.66020229698187,6.56943205285517
5,30,17,31,-55.3794687630297,-0.113456944378891,5.94469822264076,3.8208355856408,7.36724878896016
5,30,21,26,-237.685975559391,-0.0264348171674504,5.94469822264076,3.00345253442047,7.7338825191743
6,10,22,28,412.637250249775,0.0152268979675885,6.47320397473245,5.02369264380028,7.83616072043754
6,22,18,28,254.457474831112,0.0246924768523693,5.52335255335548,4.09423336285712,7.97631346799348
7,11,5,30,-20.8809575650678,-0.300905036926605,7.73007730648569,5.94469822264076,7.78972421991896
7,11,17,21,25.0979171003747,0.250346882653691,7.73007730648569,4.66020229698187,3.85288720749718
7,11,17,30,-101.337075606198,-0.0620028283783955,7.73007730648569,3.60514940974173,3.86638967418717
7,11,21,26,570.573368209741,0.0110120549910943,7.73007730648569,3.00345253442047,7.32973613039922
7,11,21,30,-20.1158672003194,-0.312349711032087,7.73007730648569,4.92146648793748,5.29655556590486
7,11,26,30,-19.4308232060099,-0.323361766023181,7.73007730648569,5.6030093003874,6.78645111241945
7,11,29,30,-25.7766589030734,-0.243754837692732,7.73007730648569,3.8131663524578,6.8659361955463
7,12,5,30,-22.0880554086657,-0.28446077261806,6.22261157620347,5.94469822264076,7.07100793942894
7,12,11,31,-30.9421305466962,-0.203062465194417,6.22261157620347,3.07946635666591,3.60751791199699
7,12,17,21,28.3894330202371,0.221321267765393,6.22261157620347,4.66020229698187,2.85211974138903
7,12,17,30,-59.579628991522,-0.105458617543148,6.22261157620347,3.60514940974173,2.93899520844181
7,12,21,26,-819.98244442729,-0.00766258515640299,6.22261157620347,3.00345253442047,6.34639413824123
7,12,21,30,-19.2275766950805,-0.326779885308541,6.22261157620347,4.92146648793748,4.25469689095298
7,12,26,30,-19.6892656843866,-0.319117300152138,6.22261157620347,5.6030093003874,5.74512680930015
7,12,29,30,-27.2283019796942,-0.230759351496297,6.22261157620347,3.8131663524578,6.09397885571176
7,21,5,30,-27.8952154074529,-0.225242401444259,5.42562187282356,5.94469822264076,5.58047872191851
7,21,11,17,-24.0552966507902,-0.261197581488698,5.42562187282356,5.86552230912925,4.86412045567729
7,21,11,31,-121.640422848667,-0.0516537608143348,5.42562187282356,3.07946635666591,6.76342213154749
7,21,12,17,-23.4691437813331,-0.267721113548978,5.42562187282356,4.2127193194899,3.84208130730426
7,21,12,31,-108.000647619016,-0.058177292874615,5.42562187282356,2.95500049406933,5.73316964698013
7,21,17,31,29.9850660685615,0.209543820674363,5.42562187282356,3.8208355856408,4.21943118483775
7,21,26,30,-13.3163759076831,-0.471838986127929,5.42562187282356,5.6030093003874,2.52882694535239
7,21,29,30,-35.1165990433242,-0.178923514188486,5.42562187282356,3.8131663524578,4.50416008832698
7,26,5,30,-24.9652524842678,-0.25167721861171,6.99421998408402,5.94469822264076,5.19794895132645
7,26,11,17,-20.7716054265356,-0.302489151808789,6.99421998408402,5.86552230912925,6.36522417133375
7,26,11,31,-116.52138008732,-0.0539230251347094,6.99421998408402,3.07946635666591,8.2651430903845
7,26,12,17,-21.6409300918382,-0.290338043721572,6.99421998408402,4.2127193194899,5.34037623191876
7,26,12,31,-150.416493933855,-0.0417719170474922,6.99421998408402,2.95500049406933,7.23460877716214
7,26,17,30,163.613110707073,0.0384027006150428,6.99421998408402,3.60514940974173,2.59093715290872
7,26,17,31,25.2777214307166,0.24856612667408,6.99421998408402,3.8208355856408,5.67879838614841
7,26,29,30,-31.0150662900979,-0.202584938829733,6.99421998408402,3.8131663524578,4.19066621160454
7,29,11,17,-21.6553209965019,-0.290145101436942,4.58824721369626,5.86552230912925,7.07825849936508
7,29,11,31,-169.808565837749,-0.0370015804337168,4.58824721369626,3.07946635666591,8.54680755960679
7,29,12,17,-23.3364876215795,-0.269242973024333,4.58824721369626,4.2127193194899,6.41484357017492
7,29,12,31,-390.273240290531,-0.0160994520211076,4.58824721369626,2.95500049406933,7.75369772520709
7,29,17,21,23.4473835602157,0.267969570721766,4.58824721369626,4.66020229698187,5.2563659534861
7,29,17,30,54.8911115568758,0.114466352182889,4.58824721369626,3.60514940974173,2.87170396277706
7,29,17,31,24.8206443612655,0.253143521003225,4.58824721369626,3.8208355856408,5.65029511573222
7,29,21,26,155.984052630222,0.0402809466816111,4.58824721369626,3.00345253442047,7.08692722939478
7,29,21,30,-40.9319450561766,-0.153503218538877,4.58824721369626,4.92146648793748,4.43168600281259
7,29,26,30,-32.4236260482406,-0.193784165220488,4.58824721369626,5.6030093003874,4.80296740032791
7,31,5,30,-21.959835218916,-0.286121696476453,5.23762639272563,5.94469822264076,6.40172987459926
7,31,11,17,-14.9033829304326,-0.42159456926718,5.23762639272563,5.86552230912925,2.55924305421309
7,31,17,21,37.1743362240002,0.169019435056465,5.23762639272563,4.66020229698187,3.9046856882438
7,31,17,30,-52.3037466100111,-0.120128780716771,5.23762639272563,3.60514940974173,2.94114433556732
7,31,21,26,718.670450182727,0.00874279067071985,5.23762639272563,3.00345253442047,7.34437715700711
7,31,21,30,-21.7299812498486,-0.289148215773236,5.23762639272563,4.92146648793748,4.89684946701004
7,31,26,30,-21.0922289403245,-0.297891006443956,5.23762639272563,5.6030093003874,6.29049228471392
7,31,29,30,-26.7135959734031,-0.2352055228145,5.23762639272563,3.8131663524578,5.54498633685801
8,25,9,14,-599.985955345599,-0.0104722206431656,4.16615077574007,5.49537842482027,6.0238591717098
9,14,8,25,-599.985955345599,-0.0104722206431656,5.49537842482027,4.16615077574007,6.0238591717098
10,22,18,28,142.338562275288,0.0441425373893244,7.0312574802685,4.09423336285712,8.77773752423677
11,17,5,30,48.9954097930746,0.128240284829043,5.86552230912925,5.94469822264076,8.78082923991288
11,17,7,21,-24.0552966507902,-0.261197581488698,5.86552230912925,5.42562187282356,4.86412045567729
11,17,7,29,-21.6553209965019,-0.290145101436942,5.86552230912925,4.58824721369626,7.07825849936508
11,17,7,31,-14.9033829304326,-0.42159456926718,5.86552230912925,5.23762639272563,2.55924305421309
11,17,21,26,-152.166295892178,-0.0412915703200906,5.86552230912925,3.00345253442047,7.62454798212176
11,17,21,30,84.4480772138458,0.0744029410079856,5.86552230912925,4.92146648793748,5.88622726293413
11,17,26,30,54.3084130357946,0.115694511328076,5.86552230912925,5.6030093003874,7.38791562265995
11,17,29,30,60.7949422677527,0.103350460956229,5.86552230912925,3.8131663524578,7.83668013920953
11,21,5,30,83.0421153998217,0.0756626354823456,8.53280878901126,5.94469822264076,8.95744326027129
11,21,7,29,-283.338666744049,-0.0221755307151757,8.53280878901126,4.58824721369626,7.39592554215688
11,21,7,31,-24.8764999247223,-0.252575134210715,8.53280878901126,5.23762639272563,3.88372807673937
11,21,12,31,49.3869533909476,0.127223585902168,8.53280878901126,2.95500049406933,2.990688389096
11,21,17,30,117.428467396508,0.053506491624078,8.53280878901126,3.60514940974173,4.58882332609427
11,21,17,31,-25.99317399341,-0.241724435375708,8.53280878901126,3.8208355856408,3.16613685309374
11,21,26,30,-42.31750367327,-0.148477220104748,8.53280878901126,5.6030093003874,6.14900630937676
11,21,29,30,96.9158883015555,0.0648313235042467,8.53280878901126,3.8131663524578,7.9062072805646
11,31,7,21,-121.640422848667,-0.0516537608143348,3.07946635666591,5.42562187282356,6.76342213154749
