sample_id,x_m,y_m,pH,point_ec_s_m,moisture_pct,clay_pct,silt_pct,sand_pct
S01,-18.0,-12.0,6.40,1.86,18.0,30.0,25.0,45.0
S02,-12.0,0.0,6.40,1.84,18.0,31.5,25.0,43.5
S03,-18.0,12.0,6.40,1.86,18.0,30.0,25.0,45.0
S04,-6.0,-18.0,6.40,1.85,18.0,30.5,25.0,44.5
S05,-6.0,-6.0,6.40,1.80,18.0,35.0,25.0,40.0
S06,-6.0,6.0,6.40,1.80,18.0,35.0,25.0,40.0
S07,-6.0,18.0,6.40,1.85,18.0,30.5,25.0,44.5
S08,6.0,-18.0,6.40,1.85,18.0,30.5,25.0,44.5
S09,6.0,-6.0,6.40,1.80,18.0,35.0,25.0,40.0
S10,6.0,6.0,6.40,1.80,18.0,35.0,25.0,40.0
S11,6.0,18.0,6.40,1.85,18.0,30.5,25.0,44.5
S12,18.0,-12.0,6.40,1.86,18.0,30.0,25.0,45.0
S13,12.0,0.0,6.40,1.84,18.0,31.5,25.0,43.5
S14,18.0,12.0,6.40,1.86,18.0,30.0,25.0,45.0
