sample_id,x_m,y_m,pH_CaCl2,pH_H2O,point_ec_s_m,N,P,K,OC,moisture_pct,clay_pct,silt_pct,sand_pct,CaCO3,Coarse
S01,-36,-18,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S02,-24,-18,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S03,-12,-18,6.4,7,1.78297335840438,29.9999999817864,20,120,2.5,18,5,25,70,2,5
S04,0,-18,6.4,7,1.78297306380222,29.9999942199468,20,120,2.5,18,5,25,70,2,5
S05,12,-18,6.4,7,1.78297335840438,29.9999999817864,20,120,2.5,18,5,25,70,2,5
S06,24,-18,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S07,36,-18,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S08,-36,-12,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S09,-24,-12,6.4,7,1.7829733593356,29.9999999999992,20,120,2.5,18,5,25,70,2,5
S10,-12,-12,6.4,7,1.78297211197895,29.9999756041537,20,120,2.5,18,5,25,70,2,5
S11,0,-12,6.4,7,1.78257750730223,29.9922580189431,20,120,2.5,18,5,25,70,2,5
S12,12,-12,6.4,7,1.78297211197895,29.9999756041537,20,120,2.5,18,5,25,70,2,5
S13,24,-12,6.4,7,1.7829733593356,29.9999999999992,20,120,2.5,18,5,25,70,2,5
S14,36,-12,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S15,-36,-6,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S16,-24,-6,6.4,7,1.7829733593327,29.9999999999426,20,120,2.5,18,5,25,70,2,5
S17,-12,-6,6.4,7,1.78287957199285,29.9981657097804,20,120,2.5,18,5,25,70,2,5
S18,0,-6,6.4,7,1.75317895881012,29.4178910640704,20,120,2.5,18,5,25,70,2,5
S19,12,-6,6.4,7,1.78287957199285,29.9981657097804,20,120,2.5,18,5,25,70,2,5
S20,24,-6,6.4,7,1.7829733593327,29.9999999999426,20,120,2.5,18,5,25,70,2,5
S21,36,-6,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S22,-36,0,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S23,-24,0,6.4,7,1.78297335932325,29.9999999997578,20,120,2.5,18,5,25,70,2,5
S24,-12,0,6.4,7,1.78257750730223,29.9922580189431,20,120,2.5,18,5,25,70,2,5
S25,0,0,6.4,7,1.73175081264805,29,20,120,2.5,18,5,25,70,2,5
S26,12,0,6.4,7,1.78257750730223,29.9922580189431,20,120,2.5,18,5,25,70,2,5
S27,24,0,6.4,7,1.78297335932325,29.9999999997578,20,120,2.5,18,5,25,70,2,5
S28,36,0,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S29,-36,6,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S30,-24,6,6.4,7,1.7829733593327,29.9999999999426,20,120,2.5,18,5,25,70,2,5
S31,-12,6,6.4,7,1.78287957199285,29.9981657097804,20,120,2.5,18,5,25,70,2,5
S32,0,6,6.4,7,1.75317895881012,29.4178910640704,20,120,2.5,18,5,25,70,2,5
S33,12,6,6.4,7,1.78287957199285,29.9981657097804,20,120,2.5,18,5,25,70,2,5
S34,24,6,6.4,7,1.7829733593327,29.9999999999426,20,120,2.5,18,5,25,70,2,5
S35,36,6,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S36,-36,12,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S37,-24,12,6.4,7,1.7829733593356,29.9999999999992,20,120,2.5,18,5,25,70,2,5
S38,-12,12,6.4,7,1.78297211197895,29.9999756041537,20,120,2.5,18,5,25,70,2,5
S39,0,12,6.4,7,1.78257750730223,29.9922580189431,20,120,2.5,18,5,25,70,2,5
S40,12,12,6.4,7,1.78297211197895,29.9999756041537,20,120,2.5,18,5,25,70,2,5
S41,24,12,6.4,7,1.7829733593356,29.9999999999992,20,120,2.5,18,5,25,70,2,5
S42,36,12,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S43,-36,18,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S44,-24,18,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S45,-12,18,6.4,7,1.78297335840438,29.9999999817864,20,120,2.5,18,5,25,70,2,5
S46,0,18,6.4,7,1.78297306380222,29.9999942199468,20,120,2.5,18,5,25,70,2,5
S47,12,18,6.4,7,1.78297335840438,29.9999999817864,20,120,2.5,18,5,25,70,2,5
S48,24,18,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
S49,36,18,6.4,7,1.78297335933564,30,20,120,2.5,18,5,25,70,2,5
