Property,OOBImportance,MedianValue,MedianPctEcChangeFrom1PctPropertyIncrease,MeanPctEcChangeFrom1PctPropertyIncrease,MaxAbsPctEcChangeFrom1PctPropertyIncrease,MedianElasticityPctEcPerPctProperty,MeanElasticityPctEcPerPctProperty,AbsoluteStep,MedianPctEcChangeFromAbsoluteStep,MeanPctEcChangeFromAbsoluteStep,MaxAbsPctEcChangeFromAbsoluteStep
CaCO3,1.37171079327907,2,0,0,0,0,0,1,5.62640507250123,5.62640507250123,5.62640507250123
Clay,1.35210997574577,5,0,0,0,0,0,1,0.506098864885558,0.506098864885558,0.506098864885558
Coarse,1.17716988006675,5,0,0,0,0,0,1,0.107922622114673,0.107922622114673,0.107922622114673
K,1.81962617673213,120,0,0,0,0,0,10,-0.493426410437964,-0.493426410437962,0.493426410437964
N,2.81963597334387,29.9878987585438,0,0,0,0,0,1,0,0,0
OC,1.51924683551095,2.5,0,0,0,0,0,0.1,0,0,0
P,2.6603449022526,20,0.0228141338462673,0.0228141338462674,0.0228141338462673,0.0228141338462674,0.0228141338462675,1,0.115455835028029,0.115455835028028,0.115455835028029
Sand,1.0093884212415,70,0.724458820624075,0.724458820624079,0.724458820624075,0.724458820624072,0.724458820624077,1,0.735837761846127,0.73583776184613,0.735837761846127
Silt,1.82244969630667,25,0,0,0,0,0,1,-0.0426257601805297,-0.0426257601805299,0.0426257601805297
pH_CaCl2,2.29297996271724,6.4,-0.682117243244882,-0.682117243244879,0.682117243244882,-0.682117243244881,-0.682117243244877,0.1,-0.779640568444226,-0.779640568444223,0.779640568444226
pH_H2O,2.19998409370283,7,0.436279763320085,0.436279763320082,0.436279763320085,0.436279763320083,0.436279763320084,0.1,0.611094512324059,0.611094512324061,0.611094512324059
