Random Forest soil -> EC local sensitivity
  Property source: C:\Users\hdsp\Documents\Data\Codex\Soil health - ERT inversion\outputs\ert_staged_ec_property_inversion_demo\staged_property_inversion_output.mat
  RF model: C:\Users\hdsp\Documents\Data\Codex\Soil health - ERT inversion\soil_health_ec_models\direct_ec_random_forest_direct_ec_rf_model.mat
  Relative perturbation: 1% property increase

  Elasticity is approximately (% EC change) / (% property change).
  Positive means increasing the property raises EC; negative lowers EC.
  OOBImportance is the forest training-time permutation importance.

property          median       OOBImp     medElastic        absStep    medAbsStep%
-------------------------------------------------------------------------------------
CaCO3                  2        1.372              0              1          5.626
Clay                   5        1.352              0              1         0.5061
Coarse                 5        1.177              0              1         0.1079
K                    120         1.82              0             10        -0.4934
N                  29.99         2.82              0              1              0
OC                   2.5        1.519              0            0.1              0
P                     20         2.66        0.02281              1         0.1155
Sand                  70        1.009         0.7245              1         0.7358
Silt                  25        1.822              0              1       -0.04263
pH_CaCl2             6.4        2.293        -0.6821            0.1        -0.7796
pH_H2O                 7          2.2         0.4363            0.1         0.6111
