Property,MedianValue,MedianPctEcChangeFrom1PctPropertyIncrease,MeanPctEcChangeFrom1PctPropertyIncrease,MaxAbsPctEcChangeFrom1PctPropertyIncrease,MedianElasticityPctEcPerPctProperty,MeanElasticityPctEcPerPctProperty,AbsoluteStep,MedianPctEcChangeFromAbsoluteStep,MeanPctEcChangeFromAbsoluteStep,MaxAbsPctEcChangeFromAbsoluteStep
N,29.9878987585438,0.859830749885222,0.85974693872265,0.859954455523911,0.859830749885221,0.859746938722649,1,2.8637160284872,2.87207635129127,2.9578474173924
P,20,-0.0624328207974497,-0.0624328207973786,0.0624328207974699,-0.0624328207974499,-0.0624328207973788,1,-0.306035795380847,-0.306035795380775,0.306035795380867
K,120,0.331586440886202,0.331586440886291,0.331586440886409,0.331586440886201,0.331586440886291,10,2.69948597897816,2.69948597897812,2.69948597897818
OC,2.5,-0.104985832558678,-0.104985832558589,0.104985832558702,-0.104985832558678,-0.104985832558589,0.1,-0.41488826230815,-0.414888262308202,0.414888262308365
Moisture,18,0,0,0,0,0,1,0,0,0
Clay,5,0.148236052679864,0.147706712269177,0.14902510181577,0.148236052679865,0.147706712269177,1,2.78965535983236,2.77956597409415,2.80469959874781
Sand,70,0.701158335199068,0.699004236028025,0.704369468688188,0.701158335199065,0.699004236028023,1,1.00315772854277,1.00007128999147,1.00775885079759
Silt,25,0.478829740337688,0.478140865905149,0.479856600658831,0.478829740337688,0.478140865905149,1,1.92911960316794,1.92632448484916,1.93328639425262
pH_CaCl2,6.4,16.9319519076072,16.9306084329426,16.9339545693253,16.9319519076072,16.9306084329426,0.1,27.6866885017533,27.6843962911005,27.6901054794074
pH_H2O,7,-17.1373298126727,-17.1343938879238,17.1417055786794,-17.1373298126726,-17.1343938879237,0.1,-23.551337540176,-23.5474678584583,23.5571047015399
CaCO3,2,0.085877869276695,0.0860020077164877,0.0872637070036492,0.085877869276695,0.0860020077164877,1,3.7865001218192,3.79207431684405,3.84873807808903
Coarse,5,-0.0572972595971745,-0.0572972595971744,0.057297259597188,-0.0572972595971747,-0.0572972595971747,1,-1.05895764651551,-1.05895764651542,1.05895764651554
