Physics-informed soil -> EC local sensitivity
  Source: C:\Users\hdsp\Documents\Data\Codex\Soil health - ERT inversion\outputs\ert_staged_ec_property_inversion_demo\staged_property_inversion_output.mat
  Relative perturbation: 1% property increase

  Elasticity is approximately (% EC change) / (% property change).
  Positive means increasing the property raises EC; negative lowers EC.

property          median     medElastic    meanElastic        absStep    medAbsStep%
-----------------------------------------------------------------------------------
N                  29.99         0.8598         0.8597              1          2.864
P                     20       -0.06243       -0.06243              1         -0.306
K                    120         0.3316         0.3316             10          2.699
OC                   2.5         -0.105         -0.105            0.1        -0.4149
Moisture              18              0              0              1              0
Clay                   5         0.1482         0.1477              1           2.79
Sand                  70         0.7012          0.699              1          1.003
Silt                  25         0.4788         0.4781              1          1.929
pH_CaCl2             6.4          16.93          16.93            0.1          27.69
pH_H2O                 7         -17.14         -17.13            0.1         -23.55
CaCO3                  2        0.08588          0.086              1          3.787
Coarse                 5        -0.0573        -0.0573              1         -1.059
