Term,MeanCoefficient,StdCoefficient
Intercept,-0.257472068295922,0.98025259205523
state_N,0.181498778603808,0.316235034627229
state_P,-0.331176145244259,0.308377425461476
state_K,0.295102448822761,0.162645973747551
state_CEC,-0.156458034134038,0.158498383467406
state_OC,0.152773571026324,0.103054575574112
context_Clay,-0.0688200120722858,0.0893321260340128
context_Silt,-0.00851440857729864,0.00693350094418689
context_Sand,-0.0155265342018483,0.00806370761060402
context_Coarse,-0.0299935012832739,0.00385490731803349
context_pH_CaCl2,0.768219035307645,0.0680488178725165
context_pH_H2O,-0.708417340557319,0.0580570551882014
context_CaCO3,0.155339249481867,0.031646036103971
N_x_Clay,0.0953091126598481,0.0815869133786213
N_x_Silt,0.00410379270243491,0.0034565956991239
N_x_Sand,0.00457309020328987,0.00258238504108911
N_x_pH_H2O,-0.0757354886268326,0.0433894982967402
N_x_pH_CaCl2,0.0268646719842054,0.0335051509672895
N_x_CaCO3,-0.0279330932399066,0.0186083371472529
P_x_Clay,0.0967546374938289,0.0430065620095799
P_x_Silt,0.00255072740244599,0.00222564391664614
P_x_Sand,0.00331222722624301,0.00234314496571457
P_x_pH_H2O,-0.0261234231741208,0.00496834830117981
P_x_pH_CaCl2,0.00315428178050004,0.00705318848138716
P_x_CaCO3,-0.00341035328836797,0.00162767609287443
K_x_Clay,-0.0931933390082089,0.0405619485751256
K_x_Silt,-0.000660282882806071,0.000874066339224829
K_x_Sand,-0.00117276696952147,0.00121867892669304
K_x_pH_H2O,-0.02130664366459,0.0222095301675971
K_x_pH_CaCl2,0.0415227366257197,0.0281734467761829
K_x_CaCO3,-0.000397766290186316,0.002055059888298
CEC_x_Clay,0.0261659813789486,0.0193511723166905
CEC_x_Silt,-4.83980924946898e-06,0.000979982791261893
CEC_x_Sand,0.000874005883137155,0.00115159119446898
CEC_x_pH_H2O,0.0547235141571688,0.0513504148453143
CEC_x_pH_CaCl2,-0.0552823506437424,0.0532703369356396
CEC_x_CaCO3,-0.0246898265186173,0.00715088798557486
OC_x_Clay,-0.0227906282280543,0.0308345410242023
OC_x_Silt,-0.0014984926477097,0.00152283468572621
OC_x_Sand,-0.000239843666069003,0.000404758558913864
OC_x_pH_H2O,-0.0128700069373587,0.013325701446266
OC_x_pH_CaCl2,-0.00618063988925742,0.0090279926760579
OC_x_CaCO3,0.00715925051952978,0.0135340960291195
