Term,MeanCoefficient,StdCoefficient
Intercept,-1.77809261123127,0.536550364953296
sensor_EC,0.631221271852342,0.245165305474825
sensor_pH_CaCl2,0.0833946559739097,0.0483746092570288
sensor_pH_H2O,0.218451665645175,0.105003745297182
context_Clay,0.733449883913116,0.139891443461367
context_Silt,-0.00171322349665464,0.00176344051590498
context_Sand,-0.00275319210385708,0.00148978156050717
context_Coarse,-0.00447339996228558,0.0122733689571822
context_CaCO3,0.427597350900395,0.0937776936152309
EC_x_Clay,-0.131093352489253,0.0424920895480916
EC_x_Silt,-0.00133943186432585,0.00238263575414583
EC_x_Sand,0.00470961076828052,0.00137353626665857
EC_x_CaCO3,-0.0796078391230805,0.0183390129811138
pH_CaCl2_x_Clay,-0.0207898790572688,0.0129425667712265
pH_CaCl2_x_Silt,-4.48543754294174e-05,6.14288100426239e-05
pH_CaCl2_x_Sand,-3.30389491545237e-05,0.000276628027616311
pH_CaCl2_x_CaCO3,-0.0165474552891092,0.0077208428193517
pH_H2O_x_Clay,-0.0380513674915699,0.0184460707595741
pH_H2O_x_Silt,-4.63019996743659e-05,0.000140176526114758
pH_H2O_x_Sand,1.99110318259919e-07,4.45224206650796e-07
pH_H2O_x_CaCO3,-0.0379102589056024,0.0074031200972104
