Term,MeanCoefficient,StdCoefficient
Intercept,-0.541459658248092,0.264529160425244
sensor_EC,1.39673112304581,0.395641055975199
sensor_pH_CaCl2,0.15769546946441,0.0308629390585795
sensor_pH_H2O,0.21788481116177,0.0402903965480952
context_Clay,0.248702712966876,0.0237584855254823
context_Silt,0.0150261238803967,0.00227715951959044
context_Sand,0.0140864209093324,0.00212295367155446
context_Coarse,0.00752419833981537,0.00237547472974276
context_CaCO3,0.138348104538803,0.0254214709234676
EC_x_Clay,-0.161220083773282,0.0547168207626435
EC_x_Silt,-0.00577901413520803,0.0025819985054125
EC_x_Sand,-0.00292972061450982,0.00319752391047762
EC_x_CaCO3,-0.0879551588727499,0.0068845475383412
pH_CaCl2_x_Clay,-0.00289380759920769,0.00173199721136518
pH_CaCl2_x_Silt,-0.00123264167204758,0.000672565868625938
pH_CaCl2_x_Sand,-0.00274835799666947,0.000314184161880662
pH_CaCl2_x_CaCO3,0.0148163080830443,0.00848005691786374
pH_H2O_x_Clay,-0.0116085235114529,0.00349697953008443
pH_H2O_x_Silt,-0.00138610264638269,0.000610621254276762
pH_H2O_x_Sand,-9.5919321329334e-05,0.000127186345194658
pH_H2O_x_CaCO3,-0.0315854077673556,0.0092258037532041
