Term,MeanCoefficient,StdCoefficient
Intercept,-0.281648041609524,0.121421285374899
sensor_EC,0.612199665260117,0.47272728687182
sensor_pH_CaCl2,0.13288676444791,0.0605249679229334
sensor_pH_H2O,-0.141067592446033,0.067102229741019
context_Clay,0.308060670949631,0.0312424030919279
context_Silt,-0.000671373857691387,0.000715815410800577
context_Sand,0.00383455117023565,0.000725229115257978
context_Coarse,0.0290754210483077,0.00181110604803822
context_CaCO3,0.603177866811934,0.0307187262152371
EC_x_Clay,0.0403627103357497,0.0644777018519446
EC_x_Silt,-0.000331418147276881,0.00304829713273712
EC_x_Sand,0.00399324802109811,0.00375673549626347
EC_x_CaCO3,-0.171439030422823,0.0132299115836662
pH_CaCl2_x_Clay,0.0196906764178712,0.015818322440634
pH_CaCl2_x_Silt,0.000426719146742344,0.000245497460476307
pH_CaCl2_x_Sand,-0.00102273719141934,0.000340423535455249
pH_CaCl2_x_CaCO3,-0.00314744960627909,0.0030795266509168
pH_H2O_x_Clay,-0.0506967453385391,0.0174994650673932
pH_H2O_x_Silt,0.000150991116555947,0.000142589596359512
pH_H2O_x_Sand,0.000351172905137076,0.000357883599892898
pH_H2O_x_CaCO3,-0.0669420294001806,0.0038727400933717
