Term,MeanCoefficient,StdCoefficient
Intercept,1.89013803696444,0.286573459063698
sensor_EC,0.557441220433418,0.437151617236075
sensor_pH_CaCl2,-0.0902165916950697,0.146289399051083
sensor_pH_H2O,-0.103556905411586,0.0864576754294176
context_Clay,0.201438032047519,0.0457566114663447
context_Silt,-0.00859559655812079,0.00243975049886601
context_Sand,-0.00273140572312905,0.00246327183098099
context_Coarse,0.0411340020520494,0.00371464719159303
context_CaCO3,0.692413780554083,0.0148024020701424
EC_x_Clay,0.0550992962554026,0.070618022232733
EC_x_Silt,-0.00138723545568261,0.00313215672557233
EC_x_Sand,0.0054126317638349,0.00324822792289216
EC_x_CaCO3,-0.179227176815653,0.00679962256357155
pH_CaCl2_x_Clay,0.0627293432595243,0.0458075686997921
pH_CaCl2_x_Silt,0.00106381694510889,0.000580926139786113
pH_CaCl2_x_Sand,-0.000665317521011318,0.000926199092419841
pH_CaCl2_x_CaCO3,-0.00204509840964661,0.00564517210065407
pH_H2O_x_Clay,-0.0799315607944419,0.0370977354132339
pH_H2O_x_Silt,0.000714518703903839,0.00066074624682802
pH_H2O_x_Sand,0.000949216338973079,0.000903843600434349
pH_H2O_x_CaCO3,-0.0752904737421976,0.00601157200586629
