Term,MeanCoefficient,StdCoefficient
Intercept,-5.81804303574212,0.0657235353466912
log1p_Clay,1.54792188935747,0.0715465727910843
Clay_x_OC,0.0388705641154783,0.025372505974623
Clay_x_K,0.037548267106827,0.0148798257079926
FineShare,0.0230828473560822,0.0316674315944761
delta_pH,0.0213813247968122,0.0271342603492783
Clay_x_TotalN,0.0129269082481214,0.0289054455817021
log1p_OC,0.00420563485809315,0.00940408543123897
pHCa_x_Clay,0.00283406630418743,0.00580832245188471
log1p_Coarse,0.00107388981317899,0.00240129062261276
Coarse_x_K,0.000426825799787517,0.000609162282873799
Clay_x_P,0.000201161348439244,0.00044981044955567
pH_H2O,0,0
mean_pH,0,0
log1p_K,0,0
log_TextureRatio,0,0
meanpH_x_K,0,0
deltapH_x_Fine,0,0
Fine_x_OC,-0.000159721338132654,0.000357147769521843
meanpH_x_P,-0.00020242014912511,0.000338908111522497
log1p_Sand,-0.000278837801750953,0.000596680570566552
CoarseShare,-0.000999767209517235,0.00178592931210031
pHH2O_x_OC,-0.0013212268069754,0.00269473328090029
pH_CaCl2,-0.00193223923670748,0.00387233664305647
Fine_x_K,-0.00209547343629689,0.00468562104860492
log1p_P,-0.00209609875438759,0.00468701930236329
log1p_Fine,-0.00327087306795144,0.00631744661477125
deltapH_x_Clay,-0.00809790216345146,0.0181074597126201
Sand_x_K,-0.00880428434786144,0.00184198724221516
log1p_Silt,-0.0309168835471065,0.00122463180040975
log1p_N,-0.0550529765982402,0.0443103371891212
