Term,MeanCoefficient,StdCoefficient
Intercept,-1.31898333217827,0.142450248591403
log1p_N,1.32280819294375,0.0633218534132957
Clay_x_OC,0.677597557619021,0.0505997221861932
deltapH_x_Clay,0.5845709824663,0.0352180000855573
log1p_K,0.36722159409179,0.0607814727681249
log1p_P,0.351010735416915,0.0451698607971092
meanpH_x_K,0.0940940018542898,0.00471335656130035
Fine_x_K,0.0879096668850509,0.0189356676886295
FineShare,0.081581245617427,0.0169342148502942
pH_CaCl2,0.068424818670047,0.0201693725357917
pHCa_x_Clay,0.0604759842661972,0.00870239721702724
Sand_x_K,0.0129286967219327,0.00923522034093461
mean_pH,0.00331501213627648,0.0035414815641609
pH_H2O,0,0
log1p_Fine,-0.00341507362960237,0.00472945601177135
Fine_x_OC,-0.00521666644133348,0.00938537793936534
CoarseShare,-0.0055340399545478,0.00238978545760441
Clay_x_P,-0.0069324017023056,0.0400090813252142
Coarse_x_K,-0.00745768993785469,0.01385274581171
log1p_Sand,-0.0125599664885006,0.0122745436309807
log1p_Coarse,-0.019286117464703,0.0238420567312502
log_TextureRatio,-0.0205302709528554,0.0189464806361599
meanpH_x_P,-0.0406002728069951,0.00992141184548033
log1p_Silt,-0.0416878138106652,0.0379335977454553
pHH2O_x_OC,-0.13239177414596,0.00446205186124367
deltapH_x_Fine,-0.145701202982855,0.0118525125194118
log1p_OC,-0.252695973806509,0.0538617050347945
log1p_Clay,-0.259875185151231,0.0614927605766256
Clay_x_TotalN,-0.406388509058822,0.0479155299549999
delta_pH,-0.512174188587214,0.053638906462637
Clay_x_K,-0.636285265167335,0.0516958568948878
