Predictor,MeanAbsGradient,MedianAbsGradient,P95AbsGradient,UncertaintyProxy,UncertaintyContribution,TSSScaledUncertaintyContribution
Clay,0.000180690060131632,0.000175367569421451,0.00034857069545127,0.730145636805989,2.19790584361708e-08,1.36432932165184e-11
Sand,6.02337406147696e-07,2.14722539532956e-07,2.42970161861813e-06,31.1346,1.70244693912122e-09,1.05677787988272e-12
Silt,3.89916743278653e-07,3.17488994007217e-07,9.14304464463948e-07,19.2738,9.48922395350011e-11,5.89034626623283e-14
pH_CaCl2,3.98829906079027e-06,3.63721356781155e-06,8.96677211340542e-06,1.77912,7.19867078774589e-11,4.4685069932192e-14
pH_H2O,3.81716383211064e-06,3.47783725584423e-06,8.58941245107418e-06,1.660512,5.74728898199298e-11,3.56757542681418e-14
OC,4.98577250418118e-06,4.29624752631298e-06,1.23609850622689e-05,0.759629240113639,2.28910387793541e-11,1.42093964126987e-14
N,6.94513385732246e-06,6.22495018413713e-06,1.57070399353349e-05,0.393931513515754,1.0859591145998e-11,6.74098877559425e-15
K,1.53199733656015e-06,8.69514646082627e-07,5.22929531673287e-06,0.791487748176097,3.58592620192441e-12,2.22592986718381e-15
P,1.79490197598274e-07,1.48818181258285e-07,4.45898111436404e-07,0.692085224517769,2.49422757808384e-14,1.54826824339855e-17
Coarse,3.13595210688335e-08,2.74769900378133e-08,7.33467209468388e-08,0.799116211986282,9.638153967916e-16,5.98279316796509e-19
