Predictor,MeanAbsGradient,MedianAbsGradient,P95AbsGradient,UncertaintyProxy,UncertaintyContribution,TSSScaledUncertaintyContribution
pH_CaCl2,1.98518184765985,1.70836410369074,4.36451960440192,1.77912,19.5632269551367,0.0170067624523795
pH_H2O,1.70423093864265,1.36431021353989,4.07892440351125,1.660512,13.881832091814,0.0120677954271399
N,1.65808605709117,1.45217152283292,3.41352391532929,0.393931513515754,0.700367982060821,0.00060884597042582
OC,0.500931510139751,0.397059232956523,1.29317433100162,0.759629240113639,0.321471989104703,0.000279462982581311
Sand,0.0109614930715033,0.00756724697408071,0.0319302231026782,31.1346,0.286152737306671,0.000248759145903325
Clay,0.338239784016506,0.246342162146599,0.939000731366202,0.730145636805989,0.185089418249769,0.000160902481775708
K,0.282739174935134,0.22575301656215,0.706107555724894,0.791487748176097,0.145307132498417,0.000126318827190631
Silt,0.0098510468505108,0.00686894425983443,0.0291387754958529,19.2738,0.0894938956542527,7.77990986773418e-05
P,0.137886955985509,0.0978778579014415,0.391689365771857,0.692085224517769,0.0229640198453715,1.99631498094652e-05
Coarse,0.0576867139551946,0.0489571947773439,0.141710905204704,0.799116211986282,0.00355668294315925,3.09190616003446e-06
